"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
17,"1","Sea","2026-09-04T08:20:07.604626Z",17,"/data/upload/5/dad1e7c3-21.jpg",4.536,"2026-09-04T08:20:07.604667Z"
18,"1","Forest","2026-09-04T08:20:42.155023Z",18,"/data/upload/5/298f3bca-23.jpg",33.899,"2026-09-04T08:20:42.155068Z"
19,"1","Glacier","2026-09-04T08:20:52.610557Z",19,"/data/upload/5/a547f026-24.jpg",9.731,"2026-09-04T08:20:52.610601Z"
20,"1","Street","2026-09-04T08:20:57.678403Z",20,"/data/upload/5/b3b4b32e-26.jpg",4.216,"2026-09-04T08:20:57.678447Z"
154,"1","Escalate","2026-09-04T15:20:24.006704Z",21,"/data/upload/5/45689129-27.jpg",342.83,"2026-09-04T15:20:24.006732Z"
22,"1","Street","2026-09-04T08:23:55.924122Z",22,"/data/upload/5/ba1db445-29.jpg",5.558,"2026-09-04T08:23:55.924169Z"
23,"1","Street","2026-09-04T08:24:01.342129Z",23,"/data/upload/5/3d16e553-31.jpg",4.777,"2026-09-04T08:24:01.342175Z"
155,"1","Mountain","2026-09-04T15:24:20.193693Z",24,"/data/upload/5/25a51f81-32.jpg",249.68800000000002,"2026-09-04T15:24:20.193720Z"
25,"1","Street","2026-09-04T08:24:22.929384Z",25,"/data/upload/5/b92216a2-33.jpg",4.083,"2026-09-04T08:24:22.929436Z"
26,"1","Mountain","2026-09-04T08:24:27.611027Z",26,"/data/upload/5/8b461ed1-34.jpg",3.981,"2026-09-04T08:24:27.611071Z"
27,"1","Street","2026-09-04T08:24:32.282895Z",27,"/data/upload/5/eb7a2d95-35.jpg",3.988,"2026-09-04T08:24:32.282940Z"
28,"1","Street","2026-09-04T08:24:37.959483Z",28,"/data/upload/5/1dce24ac-36.jpg",4.95,"2026-09-04T08:24:37.959532Z"
29,"1","Street","2026-09-04T08:24:47.095636Z",29,"/data/upload/5/cbf5986d-37.jpg",8.403,"2026-09-04T08:24:47.095686Z"
30,"1","Street","2026-09-04T08:26:32.788259Z",30,"/data/upload/5/31d35b72-39.jpg",104.931,"2026-09-04T08:26:32.788305Z"
31,"1","Escalate","2026-09-04T08:28:19.044936Z",31,"/data/upload/5/513999e9-40.jpg",105.44,"2026-09-04T08:28:19.044980Z"
32,"1","Forest","2026-09-04T08:28:25.596190Z",32,"/data/upload/5/ce8eddf2-41.jpg",5.716,"2026-09-04T08:28:25.596235Z"
33,"1","Mountain","2026-09-04T08:28:32.451814Z",33,"/data/upload/5/81f1ddba-42.jpg",6.126,"2026-09-04T08:28:32.451857Z"
34,"1","Glacier","2026-09-04T08:28:46.956829Z",34,"/data/upload/5/e9050344-43.jpg",13.715,"2026-09-04T08:28:46.956871Z"
35,"1","Mountain","2026-09-04T08:28:53.567174Z",35,"/data/upload/5/f8c41ffd-44.jpg",5.906,"2026-09-04T08:28:53.567218Z"
36,"1","Street","2026-09-04T08:28:59.063921Z",36,"/data/upload/5/09db1bed-45.jpg",4.844,"2026-09-04T08:28:59.063993Z"
37,"1","Forest","2026-09-04T08:29:03.816794Z",37,"/data/upload/5/6291d272-46.jpg",4.012,"2026-09-04T08:29:03.816841Z"
38,"1","Buildings","2026-09-04T08:29:07.689056Z",38,"/data/upload/5/e7eef713-47.jpg",3.189,"2026-09-04T08:29:07.689105Z"
39,"1","Forest","2026-09-04T08:29:21.870205Z",39,"/data/upload/5/6099571b-48.jpg",13.528,"2026-09-04T08:29:21.870265Z"
40,"1","Forest","2026-09-04T08:29:25.712807Z",40,"/data/upload/5/8624082e-49.jpg",3.142,"2026-09-04T08:29:25.712844Z"
41,"1","Street","2026-09-04T08:29:29.812324Z",41,"/data/upload/5/5062208c-50.jpg",3.499,"2026-09-04T08:29:29.812367Z"
42,"1","Buildings","2026-09-04T08:29:33.038951Z",42,"/data/upload/5/45bf3a51-53.jpg",2.587,"2026-09-04T08:29:33.038990Z"
43,"1","Glacier","2026-09-04T08:29:36.841774Z",43,"/data/upload/5/960552f4-54.jpg",3.17,"2026-09-04T08:29:36.841810Z"
44,"1","Buildings","2026-09-04T08:29:43.454218Z",44,"/data/upload/5/e8de3d85-55.jpg",5.966,"2026-09-04T08:29:43.454261Z"
45,"1","Street","2026-09-04T08:29:48.513387Z",45,"/data/upload/5/16342633-56.jpg",4.281,"2026-09-04T08:29:48.513483Z"
46,"1","Glacier","2026-09-04T08:29:52.907163Z",46,"/data/upload/5/73df0e9e-57.jpg",3.718,"2026-09-04T08:29:52.907209Z"
47,"1","Mountain","2026-09-04T08:29:57.693455Z",47,"/data/upload/5/94cf5548-58.jpg",4.11,"2026-09-04T08:29:57.693499Z"
48,"1","Sea","2026-09-04T08:30:04.069734Z",48,"/data/upload/5/2e7b95a7-59.jpg",5.714,"2026-09-04T08:30:04.069780Z"
156,"1","Glacier","2026-09-04T15:25:07.123155Z",49,"/data/upload/5/cf662c5f-60.jpg",57.300000000000004,"2026-09-04T15:25:07.123181Z"
50,"1","Sea","2026-09-04T08:30:37.278000Z",50,"/data/upload/5/4f3dfb64-62.jpg",18.546,"2026-09-04T08:30:37.278045Z"
51,"1","Sea","2026-09-04T08:30:42.675255Z",51,"/data/upload/5/a4359f29-65.jpg",4.653,"2026-09-04T08:30:42.675299Z"
52,"1","Buildings","2026-09-04T08:30:46.416957Z",52,"/data/upload/5/bc269261-66.jpg",3.047,"2026-09-04T08:30:46.417005Z"
53,"1","Glacier","2026-09-04T08:30:50.589672Z",53,"/data/upload/5/e0c7ae7a-67.jpg",3.497,"2026-09-04T08:30:50.589716Z"
157,"1","Unclear","2026-09-04T15:26:57.498106Z",54,"/data/upload/5/10a1378e-68.jpg",47.754,"2026-09-04T15:26:57.498132Z"
55,"1","Mountain","2026-09-04T08:31:04.289223Z",55,"/data/upload/5/59324eb3-71.jpg",4.753,"2026-09-04T08:31:04.289269Z"
56,"1","Street","2026-09-04T08:31:08.457431Z",56,"/data/upload/5/72e5b4fa-74.jpg",3.534,"2026-09-04T08:31:08.457478Z"
57,"1","Glacier","2026-09-04T08:31:16.911974Z",57,"/data/upload/5/82444aba-75.jpg",7.799,"2026-09-04T08:31:16.912017Z"
58,"1","Sea","2026-09-04T08:31:23.011659Z",58,"/data/upload/5/fa9de09e-78.jpg",5.393,"2026-09-04T08:31:23.011704Z"
59,"1","Street","2026-09-04T08:31:31.393528Z",59,"/data/upload/5/ee195633-80.jpg",7.651,"2026-09-04T08:31:31.393574Z"
60,"1","Glacier","2026-09-04T08:31:37.401027Z",60,"/data/upload/5/ab3a24f1-82.jpg",5.3,"2026-09-04T08:31:37.401084Z"
61,"1","Buildings","2026-09-04T08:32:04.741903Z",61,"/data/upload/5/9f707528-83.jpg",26.744,"2026-09-04T08:32:04.741950Z"
62,"1","Glacier","2026-09-04T08:33:13.351432Z",62,"/data/upload/5/334a207f-85.jpg",29.419,"2026-09-04T08:33:13.351489Z"
63,"1","Street","2026-09-04T08:33:18.860647Z",63,"/data/upload/5/93136ecd-86.jpg",4.73,"2026-09-04T08:33:18.860690Z"
64,"1","Sea","2026-09-04T08:33:23.637661Z",64,"/data/upload/5/cf15dce8-87.jpg",4.081,"2026-09-04T08:33:23.637710Z"
65,"1","Sea","2026-09-04T08:33:28.703039Z",65,"/data/upload/5/e6ff613b-89.jpg",4.388,"2026-09-04T08:33:28.703085Z"
66,"1","Sea","2026-09-04T08:33:32.663470Z",66,"/data/upload/5/4a657d5a-90.jpg",3.349,"2026-09-04T08:33:32.663522Z"
67,"1","Street","2026-09-04T08:33:51.684694Z",67,"/data/upload/5/f74c3c4c-91.jpg",18.345,"2026-09-04T08:33:51.684738Z"
68,"1","Buildings","2026-09-04T08:33:57.512606Z",68,"/data/upload/5/f62502c0-92.jpg",5.109,"2026-09-04T08:33:57.512684Z"
69,"1","Street","2026-09-04T08:34:08.595335Z",69,"/data/upload/5/af0186e9-94.jpg",10.504,"2026-09-04T08:34:08.595395Z"
70,"1","Mountain","2026-09-04T08:34:13.239779Z",70,"/data/upload/5/1dd9b73e-95.jpg",3.93,"2026-09-04T08:34:13.239836Z"
71,"1","Buildings","2026-09-04T08:34:18.581900Z",71,"/data/upload/5/f55a78ef-96.jpg",4.532,"2026-09-04T08:34:18.581950Z"
72,"1","Sea","2026-09-04T08:34:22.204685Z",72,"/data/upload/5/f46fba06-97.jpg",2.94,"2026-09-04T08:34:22.204732Z"
73,"1","Forest","2026-09-04T08:34:26.571081Z",73,"/data/upload/5/ddd5dbb7-98.jpg",3.75,"2026-09-04T08:34:26.571126Z"
74,"1","Mountain","2026-09-04T08:34:31.619560Z",74,"/data/upload/5/da3d6f44-100.jpg",4.393,"2026-09-04T08:34:31.619608Z"
75,"1","Sea","2026-09-04T08:34:42.921213Z",75,"/data/upload/5/f265b13a-102.jpg",10.587,"2026-09-04T08:34:42.921262Z"
76,"1","Street","2026-09-04T08:34:47.963636Z",76,"/data/upload/5/db9af926-104.jpg",4.25,"2026-09-04T08:34:47.963693Z"
77,"1","Glacier","2026-09-04T08:34:53.472471Z",77,"/data/upload/5/f84f4d77-105.jpg",4.833,"2026-09-04T08:34:53.472509Z"
158,"1","Street","2026-09-04T15:28:12.445556Z",78,"/data/upload/5/8a920544-106.jpg",58.186,"2026-09-04T15:28:12.445586Z"
79,"1","Sea","2026-09-04T08:36:24.254837Z",79,"/data/upload/5/88871290-107.jpg",3.859,"2026-09-04T08:36:24.254881Z"
80,"1","Street","2026-09-04T08:37:13.375074Z",80,"/data/upload/5/8bb7c6ee-108.jpg",48.355,"2026-09-04T08:37:13.375134Z"
81,"1","Forest","2026-09-04T08:37:22.746701Z",81,"/data/upload/5/1e0cba37-109.jpg",8.633,"2026-09-04T08:37:22.746747Z"
82,"1","Forest","2026-09-04T08:37:27.211500Z",82,"/data/upload/5/baa4b880-111.jpg",3.677,"2026-09-04T08:37:27.211535Z"
83,"1","Buildings","2026-09-04T08:37:32.355648Z",83,"/data/upload/5/3ff34176-112.jpg",4.518,"2026-09-04T08:37:32.355694Z"
84,"1","Street","2026-09-04T08:37:38.521329Z",84,"/data/upload/5/2680f026-113.jpg",5.551,"2026-09-04T08:37:38.521373Z"
85,"1","Forest","2026-09-04T08:37:43.729578Z",85,"/data/upload/5/3e142882-114.jpg",4.521,"2026-09-04T08:37:43.729624Z"
86,"1","Forest","2026-09-04T08:37:53.376425Z",86,"/data/upload/5/2bda92a7-115.jpg",8.995,"2026-09-04T08:37:53.376486Z"
87,"1","Sea","2026-09-04T08:37:57.314115Z",87,"/data/upload/5/2c5a0ee7-116.jpg",3.241,"2026-09-04T08:37:57.314166Z"
88,"1","Mountain","2026-09-04T08:38:05.739610Z",88,"/data/upload/5/7bc25326-118.jpg",7.795,"2026-09-04T08:38:05.739659Z"
89,"1","Mountain","2026-09-04T08:38:10.210592Z",89,"/data/upload/5/304913ff-120.jpg",3.786,"2026-09-04T08:38:10.210628Z"
90,"1","Mountain","2026-09-04T08:38:14.455790Z",90,"/data/upload/5/c2ed19c7-122.jpg",3.62,"2026-09-04T08:38:14.455836Z"
91,"1","Forest","2026-09-04T08:38:18.593048Z",91,"/data/upload/5/c6bf8000-123.jpg",3.493,"2026-09-04T08:38:18.593094Z"
92,"1","Sea","2026-09-04T08:38:22.405759Z",92,"/data/upload/5/2a796ed3-124.jpg",3.11,"2026-09-04T08:38:22.405806Z"
93,"1","Sea","2026-09-04T08:38:28.066893Z",93,"/data/upload/5/f5949ac5-125.jpg",5.054,"2026-09-04T08:38:28.066939Z"
94,"1","Glacier","2026-09-04T08:38:32.484835Z",94,"/data/upload/5/f5fc7276-128.jpg",3.645,"2026-09-04T08:38:32.484882Z"
95,"1","Forest","2026-09-04T08:38:38.803002Z",95,"/data/upload/5/ae052910-131.jpg",5.621,"2026-09-04T08:38:38.803047Z"
96,"1","Forest","2026-09-04T08:38:44.187611Z",96,"/data/upload/5/a998c0cd-134.jpg",4.616,"2026-09-04T08:38:44.187660Z"
97,"1","Sea","2026-09-04T08:38:50.911659Z",97,"/data/upload/5/be6461da-136.jpg",6.068,"2026-09-04T08:38:50.911704Z"
98,"1","Buildings","2026-09-04T08:38:54.691633Z",98,"/data/upload/5/3e3f1baf-137.jpg",3.07,"2026-09-04T08:38:54.691700Z"
99,"1","Buildings","2026-09-04T08:38:57.940597Z",99,"/data/upload/5/1bad3174-139.jpg",2.645,"2026-09-04T08:38:57.940639Z"
100,"1","Buildings","2026-09-04T08:39:00.769956Z",100,"/data/upload/5/547f0fac-142.jpg",2.228,"2026-09-04T08:39:00.770002Z"
101,"1","Buildings","2026-09-04T08:39:07.631988Z",101,"/data/upload/5/b3bf870f-146.jpg",6.231,"2026-09-04T08:39:07.632073Z"
159,"1","Escalate","2026-09-04T15:31:13.055589Z",102,"/data/upload/5/7cf6ab83-148.jpg",196.76,"2026-09-04T15:31:13.055612Z"
160,"1","Sea","2026-09-04T15:32:01.249084Z",103,"/data/upload/5/63c2bfe6-153.jpg",15.871,"2026-09-04T15:32:01.249107Z"
104,"1","Buildings","2026-09-04T08:39:45.587109Z",104,"/data/upload/5/58174ca2-154.jpg",5.014,"2026-09-04T08:39:45.587159Z"
105,"1","Mountain","2026-09-04T08:39:53.319664Z",105,"/data/upload/5/ae5fb436-155.jpg",7.021,"2026-09-04T08:39:53.319723Z"
106,"1","Buildings","2026-09-04T08:39:56.798895Z",106,"/data/upload/5/301b43d0-157.jpg",2.784,"2026-09-04T08:39:56.798975Z"
161,"1","Buildings","2026-09-04T15:32:36.362874Z",107,"/data/upload/5/e39d4c6b-158.jpg",40.074,"2026-09-04T15:32:36.362899Z"
108,"1","Glacier","2026-09-04T08:40:10.641107Z",108,"/data/upload/5/5035f17a-163.jpg",4.312,"2026-09-04T08:40:10.641151Z"
109,"1","Sea","2026-09-04T08:40:14.821459Z",109,"/data/upload/5/70a504a0-165.jpg",3.409,"2026-09-04T08:40:14.821502Z"
110,"1","Forest","2026-09-04T08:40:21.229549Z",110,"/data/upload/5/70a19b10-167.jpg",5.761,"2026-09-04T08:40:21.229597Z"
111,"1","Forest","2026-09-04T08:40:25.143707Z",111,"/data/upload/5/829031e5-170.jpg",3.211,"2026-09-04T08:40:25.143752Z"
112,"1","Sea","2026-09-04T08:40:29.099727Z",112,"/data/upload/5/d32b9371-174.jpg",3.315,"2026-09-04T08:40:29.099777Z"
113,"1","Forest","2026-09-04T08:40:32.418504Z",113,"/data/upload/5/5b8bb0e3-175.jpg",2.704,"2026-09-04T08:40:32.418547Z"
114,"1","Mountain","2026-09-04T08:40:38.389975Z",114,"/data/upload/5/d527242d-177.jpg",5.383,"2026-09-04T08:40:38.390046Z"
115,"1","Sea","2026-09-04T08:40:42.145083Z",115,"/data/upload/5/1a5b5426-178.jpg",3.049,"2026-09-04T08:40:42.145130Z"
116,"1","Sea","2026-09-04T08:40:46.576949Z",116,"/data/upload/5/5f2f2e8b-180.jpg",3.783,"2026-09-04T08:40:46.576996Z"
117,"1","Glacier","2026-09-04T08:40:51.482688Z",117,"/data/upload/5/d1c983e5-187.jpg",4.252,"2026-09-04T08:40:51.482731Z"
118,"1","Buildings","2026-09-04T08:40:56.322034Z",118,"/data/upload/5/14d71854-188.jpg",4.151,"2026-09-04T08:40:56.322079Z"
119,"1","Glacier","2026-09-04T08:41:15.599450Z",119,"/data/upload/5/abd2a55c-189.jpg",18.595,"2026-09-04T08:41:15.599495Z"
120,"1","Glacier","2026-09-04T08:41:22.334269Z",120,"/data/upload/5/c8ba5a8c-190.jpg",5.999,"2026-09-04T08:41:22.334318Z"
121,"1","Buildings","2026-09-04T08:41:32.247699Z",121,"/data/upload/5/51bce67a-191.jpg",9.213,"2026-09-04T08:41:32.247742Z"
122,"1","Sea","2026-09-04T08:41:36.438873Z",122,"/data/upload/5/7528e962-193.jpg",3.508,"2026-09-04T08:41:36.438949Z"
123,"1","Mountain","2026-09-04T08:41:44.476218Z",123,"/data/upload/5/707fbbcb-194.jpg",7.42,"2026-09-04T08:41:44.476269Z"
124,"1","Forest","2026-09-04T08:41:55.790763Z",124,"/data/upload/5/b49a76c1-195.jpg",10.523,"2026-09-04T08:41:55.790786Z"
162,"1","Mountain","2026-09-04T15:33:27.075710Z",125,"/data/upload/5/fb4bc903-196.jpg",55.504999999999995,"2026-09-04T15:33:27.075734Z"
126,"1","Sea","2026-09-04T08:42:10.565252Z",126,"/data/upload/5/a0b3db66-200.jpg",6.575,"2026-09-04T08:42:10.565277Z"
127,"1","Mountain","2026-09-04T08:42:21.158690Z",127,"/data/upload/5/17a21a8e-202.jpg",10.219,"2026-09-04T08:42:21.158745Z"
128,"1","Glacier","2026-09-04T08:42:26.562992Z",128,"/data/upload/5/22ac35b2-205.jpg",4.97,"2026-09-04T08:42:26.563029Z"
129,"1","Sea","2026-09-04T08:42:37.218401Z",129,"/data/upload/5/2034bb2a-206.jpg",10.236,"2026-09-04T08:42:37.218427Z"
130,"1","Glacier","2026-09-04T08:42:44.853019Z",130,"/data/upload/5/3facdee5-208.jpg",7.194,"2026-09-04T08:42:44.853054Z"
131,"1","Mountain","2026-09-04T08:43:04.014043Z",131,"/data/upload/5/293a456a-209.jpg",18.733,"2026-09-04T08:43:04.014067Z"
132,"1","Buildings","2026-09-04T08:43:24.553041Z",132,"/data/upload/5/f4b469e2-218.jpg",20.108,"2026-09-04T08:43:24.553079Z"
133,"1","Forest","2026-09-04T08:43:37.524166Z",133,"/data/upload/5/95d8c0c4-219.jpg",12.531,"2026-09-04T08:43:37.524195Z"
134,"1","Forest","2026-09-04T08:43:41.008698Z",134,"/data/upload/5/349ca533-220.jpg",3.057,"2026-09-04T08:43:41.008722Z"
135,"1","Forest","2026-09-04T08:43:44.900797Z",135,"/data/upload/5/31237b54-226.jpg",3.505,"2026-09-04T08:43:44.900821Z"
163,"1","Buildings","2026-09-04T15:33:36.937436Z",136,"/data/upload/5/3d08a050-230.jpg",19.043000000000003,"2026-09-04T15:33:36.937463Z"
137,"1","Forest","2026-09-04T08:44:07.374968Z",137,"/data/upload/5/b081e2c9-231.jpg",10.183,"2026-09-04T08:44:07.375007Z"
138,"1","Mountain","2026-09-04T08:44:20.665852Z",138,"/data/upload/5/667b37c9-232.jpg",12.867,"2026-09-04T08:44:20.665877Z"
139,"1","Mountain","2026-09-04T08:47:34.757290Z",139,"/data/upload/5/b8f521b0-234.jpg",193.654,"2026-09-04T08:47:34.757312Z"
140,"1","Buildings","2026-09-04T08:49:07.599310Z",140,"/data/upload/5/6cabb4a8-235.jpg",92.412,"2026-09-04T08:49:07.599338Z"
141,"1","Forest","2026-09-04T08:49:29.770144Z",141,"/data/upload/5/bf10a571-236.jpg",21.73,"2026-09-04T08:49:29.770203Z"
142,"1","Forest","2026-09-04T08:49:33.104393Z",142,"/data/upload/5/ff894fc3-240.jpg",2.939,"2026-09-04T08:49:33.104422Z"
143,"1","Mountain","2026-09-04T08:49:36.960450Z",143,"/data/upload/5/a7ea903d-245.jpg",3.398,"2026-09-04T08:49:36.960477Z"
144,"1","Buildings","2026-09-04T08:49:39.579911Z",144,"/data/upload/5/39472c5e-246.jpg",2.215,"2026-09-04T08:49:39.579941Z"
145,"1","Forest","2026-09-04T08:49:42.814700Z",145,"/data/upload/5/1482317e-247.jpg",2.831,"2026-09-04T08:49:42.814726Z"
164,"1","Mountain","2026-09-04T15:33:52.837508Z",146,"/data/upload/5/8d98ba6e-254.jpg",11.337,"2026-09-04T15:33:52.837533Z"
165,"1","Street","2026-09-04T15:35:06.147148Z",147,"/data/upload/5/a555fa60-256.jpg",32.499,"2026-09-04T15:35:06.147173Z"
148,"1","Forest","2026-09-04T08:49:58.007694Z",148,"/data/upload/5/7e04ba1a-257.jpg",3.852,"2026-09-04T08:49:58.007724Z"
149,"1","Forest","2026-09-04T08:50:03.564690Z",149,"/data/upload/5/9775a54f-258.jpg",5.167,"2026-09-04T08:50:03.564714Z"
166,"1","Buildings","2026-09-04T15:35:15.426217Z",150,"/data/upload/5/70c9d27c-263.jpg",27.459,"2026-09-04T15:35:15.426252Z"
